estimate_year,index,DC_001,MD_009,MD_017,MD_021,MD_031,MD_033,VA_013,VA_043,VA_047,VA_059,VA_061,VA_107,VA_153,VA_157,VA_177,VA_179,VA_187,VA_510,VA_600,VA_610,VA_630,VA_683,VA_685,WV_037
2006-2010,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF
2006-2010,FILETYPE,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5
2006-2010,STATE,dc,md,md,md,md,md,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,wv
2006-2010,B11005_9_male_householder,202,65,179,118,247,583,46,3,60,585,11,117,179,34,102,52,32,6,13,17,36,13,0,63
2006-2010,B11005_10_female_householder,237,31,63,0,191,528,11,0,0,163,16,44,73,0,14,46,0,19,0,0,0,0,0,22
2006-2010,B11005_11_households_with_no_people_under_18_years,203079,17645,28949,51212,226489,190590,73171,3757,9319,242583,14381,51201,66706,2159,22533,21298,9212,50951,6046,2994,6925,6350,2329,12563
2006-2010,B11005_12_family_households,55372,10636,17236,28392,116700,88310,22115,2063,5479,128143,8615,27220,38520,1181,13796,13833,4849,16248,3164,1235,2245,3408,1379,7074
2006-2010,B11005_13_married-couple_family,35702,8824,13820,24595,95887,60219,18257,1897,4693,108091,7572,23750,31667,1132,11790,12091,4061,13055,2491,1029,1698,2840,1001,6056
2006-2010,B11005_14_other_family,19670,1812,3416,3797,20813,28091,3858,166,786,20052,1043,3470,6853,49,2006,1742,788,3193,673,206,547,568,378,1018
2006-2010,"B11005_15_male_householder,_no_wife_present",4759,616,1130,1249,7138,8359,1522,83,240,7237,438,1127,2151,16,606,609,256,1096,369,38,238,182,85,412
2006-2010,"B11005_16_female_householder,_no_husband_present",14911,1196,2286,2548,13675,19732,2336,83,546,12815,605,2343,4702,33,1400,1133,532,2097,304,168,309,386,293,606
2006-2010,B11005_17_nonfamily_households,147707,7009,11713,22820,109789,102280,51056,1694,3840,114440,5766,23981,28186,978,8737,7465,4363,34703,2882,1759,4680,2942,950,5489
2006-2010,B11005_18_male_householder,68290,3416,5091,10587,43906,45299,25616,696,1766,52830,2922,11393,14178,525,3999,3460,2038,16137,1367,827,2086,1246,393,2724
2006-2010,B11005_19_female_householder,79417,3593,6622,12233,65883,56981,25440,998,2074,61610,2844,12588,14008,453,4738,4005,2325,18566,1515,932,2594,1696,557,2765
