estimate_year,index,DC_001,MD_009,MD_017,MD_021,MD_031,MD_033,VA_013,VA_043,VA_047,VA_059,VA_061,VA_107,VA_153,VA_157,VA_177,VA_179,VA_187,VA_510,VA_600,VA_610,VA_630,VA_683,VA_685,WV_037
2006-2010,B01001_8_20_years,4857,467,959,1153,5163,7851,1029,14,163,5434,394,1353,2835,0,959,626,248,283,304,56,584,330,137,335
2006-2010,B01001_9_21_years,4477,520,863,1360,4783,7287,836,73,324,6095,441,1297,2580,20,717,804,112,321,209,57,344,244,33,370
2006-2010,B01001_10_22_to_24_years,15998,1404,2516,4066,17079,18938,6396,311,871,19915,662,3668,7086,169,1670,3336,637,3226,398,247,505,668,376,865
2006-2010,B01001_11_25_to_29_years,29015,2001,3994,6517,30809,32215,15051,291,1504,37807,1436,8887,13724,86,3377,3900,966,7819,884,328,970,1510,676,1337
2006-2010,B01001_12_30_to_34_years,24796,1883,4024,6775,30178,28374,11240,307,1553,37272,1528,11540,14227,160,3799,3740,1122,7413,782,305,553,1403,614,1490
2006-2010,B01001_13_35_to_39_years,21428,2992,5404,8360,33693,29080,8882,333,1872,38491,2202,13462,14822,159,4379,4600,1347,6789,645,408,744,1438,557,1783
2006-2010,B01001_14_40_to_44_years,19930,3825,6124,9623,33877,31631,7705,658,1825,42163,2818,14784,16558,272,4841,5502,1609,5243,857,398,681,1422,650,2414
2006-2010,B01001_15_45_to_49_years,19199,4128,6192,9995,36631,30549,6713,642,1958,42934,2906,12515,15464,291,5082,5614,1590,4677,782,489,718,1368,608,2146
2006-2010,B01001_16_50_to_54_years,17582,3606,5091,8600,34628,27228,5960,597,1581,39944,2587,9278,12642,336,4074,4510,1442,4105,904,484,624,1213,248,1813
2006-2010,B01001_17_55_to_59_years,15412,2974,3939,7008,29687,23040,5398,472,1432,33153,2284,6817,9677,292,3394,3347,1250,3722,685,330,394,890,172,1760
2006-2010,B01001_18_60_and_61_years,5899,923,1492,2474,10200,8411,1879,280,416,12321,728,2295,3185,88,1211,1037,380,1496,250,107,273,327,124,650
2006-2010,B01001_19_62_to_64_years,7007,1207,1739,3004,12466,9583,2606,296,676,15001,1064,2633,4143,234,1448,1378,497,1622,346,244,301,446,133,825
2006-2010,B01001_20_65_and_66_years,3894,925,899,1545,6690,5568,1341,176,371,7812,626,1344,2200,119,883,790,351,956,161,132,109,157,23,348
2006-2010,B01001_21_67_to_69_years,5270,732,1138,2235,8304,6517,1375,124,594,8749,588,1691,2624,101,1066,843,265,910,234,64,264,259,43,553
2006-2010,B01001_22_70_to_74_years,6348,826,1639,2356,11094,8755,1649,261,523,10904,998,1859,2477,195,1048,908,662,1145,308,121,146,237,87,796
2006-2010,B01001_23_75_to_79_years,4858,800,881,2093,9039,5827,1282,180,332,7497,431,1589,1833,107,790,711,290,807,178,126,178,172,70,590
2006-2010,B01001_24_80_to_84_years,3783,406,481,1144,6302,3474,837,100,339,5097,614,721,767,79,595,361,266,602,218,37,130,109,22,266
2006-2010,B01001_25_85_years_and_over,2600,249,450,941,6071,1711,929,119,230,4161,187,543,671,37,362,171,190,669,101,54,117,53,0,156
2006-2010,B01001_26_female,308299,44559,74246,116476,492818,444888,99183,7163,22686,530567,32641,147510,190535,3781,61179,61919,18676,69327,11274,5971,12655,17943,6719,26217
2006-2010,B01001_27_under_5_years,15959,2471,4656,7450,30971,29081,5483,350,1665,34956,1843,13388,16149,150,4174,4247,1189,4634,614,360,785,1498,686,1610
2006-2010,B01001_28_5_to_9_years,13007,3302,5038,7452,31214,27394,3804,537,1761,32861,2140,13408,14776,181,4403,4804,1322,2996,522,329,551,1334,729,1729
2006-2010,B01001_29_10_to_14_years,13223,3521,5662,8798,30235,28103,3771,480,1574,34877,2760,11005,14518,276,5065,5640,1216,2015,641,371,511,1268,384,1638
2006-2010,B01001_30_15_to_17_years,8844,2378,3798,5159,19996,18321,2089,340,1004,21405,1459,6116,8823,142,3123,3409,781,1317,436,311,335,891,258,1050
2006-2010,B01001_31_18_and_19_years,14106,956,1809,2994,9018,14596,1329,74,516,10830,786,2398,4394,44,1490,1499,487,743,124,105,1490,379,139,893
2006-2010,B01001_32_20_years,6016,409,998,1320,4241,6857,872,43,203,5433,258,1227,1713,5,685,662,257,651,153,94,732,259,135,287
2006-2010,B01001_33_21_years,4816,403,743,1613,4471,6686,800,77,165,5509,196,925,2294,124,719,742,189,626,127,118,501,263,26,706
2006-2010,B01001_34_22_to_24_years,19892,1342,2427,3441,17521,18249,7472,149,685,18413,916,3810,7037,60,1893,2212,586,3292,489,173,675,765,299,751
2006-2010,B01001_35_25_to_29_years,33503,2137,4311,6653,32186,32771,15607,297,1348,37474,1549,9648,13832,152,3658,3531,959,9121,953,327,1099,1342,558,1467
2006-2010,B01001_36_30_to_34_years,26519,2264,4662,7027,33036,31189,10713,313,1384,37800,1788,12954,14707,141,3801,3885,1172,7766,623,361,709,1260,474,1623
2006-2010,B01001_37_35_to_39_years,21817,3230,6315,8617,36626,32763,8408,429,1903,40352,2086,14121,16105,175,4492,5045,1255,6725,681,217,607,1369,647,2002
2006-2010,B01001_38_40_to_44_years,18427,4095,6836,10148,38407,35662,6619,668,1619,44405,2878,14675,16394,311,5607,5696,1511,5006,953,619,677,1366,673,2071
2006-2010,B01001_39_45_to_49_years,19153,4229,6667,10134,40864,35377,6282,610,1746,45333,3000,12382,15465,373,5114,5688,1617,4555,881,539,655,1431,496,2082
2006-2010,B01001_40_50_to_54_years,19054,3747,5253,8749,38448,32635,5990,575,1635,42579,2667,9231,12880,303,4274,4386,1344,4646,897,529,662,1342,305,1916
2006-2010,B01001_41_55_to_59_years,18277,2784,4420,6937,33003,29396,6067,508,1416,36156,2052,6888,9995,443,3662,3401,1251,4296,838,425,549,1163,204,1943
2006-2010,B01001_42_60_and_61_years,6735,875,1467,2710,12051,10081,1772,255,551,12787,858,2213,3734,57,1174,1046,455,1752,288,164,370,233,146,578
2006-2010,B01001_43_62_to_64_years,8596,1399,2086,3366,13908,11192,2230,277,704,14838,1220,3026,4054,165,1554,1277,468,1973,349,180,185,417,92,664
2006-2010,B01001_44_65_and_66_years,4755,797,973,1598,7919,7019,1125,124,462,7970,727,1440,2288,66,894,674,412,970,103,55,170,107,41,428
2006-2010,B01001_45_67_to_69_years,6283,805,1260,2163,9933,8015,1647,250,522,9265,643,1776,2813,82,1012,972,311,1225,332,116,201,377,162,696
2006-2010,B01001_46_70_to_74_years,8687,949,1763,2968,13666,10783,1978,187,536,12167,950,2464,3224,236,1527,1133,640,1425,336,174,328,275,109,686
2006-2010,B01001_47_75_to_79_years,7117,789,1180,2572,12506,8172,1762,327,522,9835,703,1467,2368,97,1208,902,433,1166,302,130,303,105,112,588
2006-2010,B01001_48_80_to_84_years,6499,906,1008,2025,10223,5678,1351,169,290,7854,657,1558,1542,53,708,497,313,1189,342,127,245,366,8,378
2006-2010,B01001_49_85_years_and_over,7014,771,914,2582,12375,4868,2012,124,475,7468,505,1390,1430,145,942,571,508,1238,290,147,315,133,36,431
2006-2010,B02001_1_total,584400,87891,143912,229205,947230,854722,197467,14013,45749,1048554,64546,291653,379415,7376,120212,124587,37044,133647,22058,11465,23375,36067,13195,52033
2006-2010,B02001_2_white_alone,222375,72043,76975,189949,553079,188554,138579,12661,34952,680404,56251,207713,223708,6727,91676,89435,34122,84765,16068,8974,15310,24423,7735,46071
2006-2010,B02001_3_black_or_african_american_alone,309048,12015,56325,18712,160362,550559,16871,735,7364,94957,5435,20895,74619,449,18717,21104,1501,29378,1019,530,5463,4556,1670,3389
2006-2010,B02001_4_american_indian_and_alaska_native_alone,1625,151,1072,869,2867,2043,700,32,83,5123,263,392,1370,31,234,724,119,587,108,12,109,64,57,82
2006-2010,B02001_5_asian_alone,20323,1183,4010,8920,130622,34795,18768,114,583,181897,937,40992,27843,12,2893,3452,242,7909,3381,1272,617,1394,988,610
2006-2010,B02001_6_native_hawaiian_and_other_pacific_islander_alone,362,0,26,151,424,562,158,0,0,818,0,189,468,0,211,64,71,218,32,0,32,0,0,18
2006-2010,B02001_7_some_other_race_alone,20021,613,1260,5462,71852,57083,15100,232,1509,52000,601,12134,37183,47,4045,5906,190,6617,843,516,1522,4055,2112,733
2006-2010,B02001_8_two_or_more_races,10646,1886,4244,5142,28024,21126,7291,239,1258,33355,1059,9338,14224,110,2436,3902,799,4173,607,161,322,1575,633,1130
2006-2010,B02001_9_two_races_including_some_other_race,1484,51,303,600,5422,2913,2363,0,305,6762,164,1544,2848,30,255,906,18,775,151,18,16,554,166,120
2006-2010,"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races",9162,1835,3941,4542,22602,18213,4928,239,953,26593,895,7794,11376,80,2181,2996,781,3398,456,143,306,1021,467,1010
2006-2010,B11001_1_total,257317,30313,49898,83455,353177,301906,91892,5535,15834,381768,22369,95330,124879,3163,41009,40183,14160,63738,8524,4706,9206,11732,4206,19164
2006-2010,B11001_2_family_households,109171,23208,37943,60517,242950,198515,40779,3838,11934,266580,16576,71188,96441,2151,32156,32620,9765,29010,5629,2930,4490,8777,3256,13590
2006-2010,B11001_3_married-couple_family,57033,18443,27212,49332,190790,119822,31958,3296,9618,218929,13711,60817,74672,1829,25008,26737,7690,21264,4448,2325,2856,6523,2321,11147
2006-2010,B11001_4_other_family,52138,4765,10731,11185,52160,78693,8821,542,2316,47651,2865,10371,21769,322,7148,5883,2075,7746,1181,605,1634,2254,935,2443
2006-2010,"B11001_5_male_householder,_no_wife_present",9437,1336,2470,3279,13450,19561,2631,248,753,14319,1067,2990,6022,124,1916,1853,542,2035,497,122,419,731,274,850
2006-2010,"B11001_6_female_householder,_no_husband_present",42701,3429,8261,7906,38710,59132,6190,294,1563,33332,1798,7381,15747,198,5232,4030,1533,5711,684,483,1215,1523,661,1593
2006-2010,B11001_7_nonfamily_households,148146,7105,11955,22938,110227,103391,51113,1697,3900,115188,5793,24142,28438,1012,8853,7563,4395,34728,2895,1776,4716,2955,950,5574
2006-2010,B11001_8_householder_living_alone,120619,5766,9848,18566,89001,84334,38182,1263,3198,92927,4834,20161,21979,747,7126,6145,3509,28850,2108,1498,3885,2213,778,4178
2006-2010,B11001_9_householder_not_living_alone,27527,1339,2107,4372,21226,19057,12931,434,702,22261,959,3981,6459,265,1727,1418,886,5878,787,278,831,742,172,1396
2006-2010,B15002_1_total,399457,57254,92602,150919,644820,547564,146410,9949,30319,709589,43280,185191,235845,5355,75976,76116,24876,101028,15503,7737,13277,22290,8090,34480
2006-2010,B15002_2_male,187021,27477,43487,72670,299669,251963,72847,4836,15206,343306,20997,89958,115014,2556,36349,37412,12227,47975,7335,3627,6202,11004,4027,16927
2006-2010,B15002_3_no_schooling_completed,2078,94,95,382,3283,3314,848,14,203,3199,174,706,1049,0,140,232,82,373,57,0,33,187,124,213
2006-2010,B15002_4_nursery_to_4th_grade,1932,69,267,58,2919,4356,505,13,187,2207,101,258,1136,41,114,139,34,556,9,0,41,359,88,47
2006-2010,B15002_5_5th_and_6th_grade,2608,159,338,742,5368,8179,758,77,324,4590,186,1109,2807,56,369,374,181,681,67,67,43,624,207,131
2006-2010,B15002_6_7th_and_8th_grade,3388,341,695,998,2885,4319,657,198,511,3494,326,486,2218,187,736,346,445,753,24,19,105,220,180,337
2006-2010,B15002_7_9th_grade,3663,405,497,948,3477,5911,641,144,525,3606,222,992,2041,119,536,486,190,704,17,9,183,138,126,617
2006-2010,B15002_8_10th_grade,3803,650,746,1572,2707,4109,453,91,560,2509,465,628,1999,61,1107,715,405,364,20,17,154,373,68,731
2006-2010,B15002_9_11th_grade,4590,566,1070,1048,2481,6203,459,89,502,2730,314,831,1368,67,1131,716,430,568,25,21,156,206,128,516
2006-2010,"B15002_10_12th_grade,_no_diploma",3351,260,753,1056,3614,5042,1147,64,329,4567,360,840,1523,63,535,453,202,484,131,11,127,251,61,323
2006-2010,"B15002_11_high_school_graduate,_ged,_or_alternative",36684,9129,13881,19976,40080,73747,6468,1576,5196,44765,5937,11765,25013,584,10842,9390,4420,5938,1016,265,1913,2677,1182,5312
2006-2010,"B15002_12_some_college,_less_than_1_year",5754,2072,3458,4338,10040,13334,1704,387,990,10137,1726,3426,6228,158,2420,2183,961,1664,330,47,465,461,209,823
2006-2010,"B15002_13_some_college,_1_or_more_years,_no_degree",19047,4045,7173,9699,31808,36702,4685,596,1586,35477,3037,10134,17147,237,5055,4916,1401,4732,1069,224,850,1800,378,1817
2006-2010,B15002_14_associate's_degree,5179,1651,3230,4676,13327,14306,2231,231,1031,14861,1512,4629,7108,57,2125,3030,637,2014,429,100,266,541,431,1168
2006-2010,B15002_15_bachelor's_degree,42642,4642,7026,16541,78472,42590,24064,674,2073,101088,3772,32147,25423,466,6715,7662,1671,13913,1956,1160,904,1986,500,3057
2006-2010,B15002_16_master's_degree,27800,2423,3402,7230,50344,20551,17435,365,817,75182,1961,17154,15904,282,3261,5439,771,9844,1467,1038,771,936,303,1098
2006-2010,B15002_17_professional_school_degree,16188,450,469,1276,25194,4245,7307,193,262,19956,629,2729,2171,90,791,820,291,3747,422,335,87,113,18,419
2006-2010,B15002_18_doctorate_degree,8314,521,387,2130,23670,5055,3485,124,110,14938,275,2124,1879,88,472,511,106,1640,296,314,104,132,24,318
2006-2010,B15002_19_female,212436,29777,49115,78249,345151,295601,73563,5113,15113,366283,22283,95233,120831,2799,39627,38704,12649,53053,8168,4110,7075,11286,4063,17553
2006-2010,B15002_20_no_schooling_completed,2135,61,190,570,4052,3441,1149,24,102,4001,101,811,1216,0,244,200,115,412,24,94,0,211,0,88
2006-2010,B15002_21_nursery_to_4th_grade,1758,10,190,172,3488,2819,522,0,22,2671,78,506,716,28,134,85,66,468,115,0,93,201,28,19
2006-2010,B15002_22_5th_and_6th_grade,2692,144,388,486,5118,5962,682,21,405,5436,105,862,2261,14,234,226,103,843,128,29,36,463,198,106
2006-2010,B15002_23_7th_and_8th_grade,3499,377,610,1058,3703,4304,733,160,450,4566,589,975,1934,211,581,309,493,590,21,12,213,349,84,207
2006-2010,B15002_24_9th_grade,3671,190,498,578,3128,4474,546,31,220,2796,257,694,1593,26,539,438,301,424,54,8,136,264,151,459
2006-2010,B15002_25_10th_grade,4556,392,751,1311,3243,4503,505,103,496,3276,412,772,2004,116,699,464,458,460,90,48,150,140,103,694
2006-2010,B15002_26_11th_grade,6483,586,1148,1186,3136,6237,538,105,260,2736,416,686,1581,72,1095,660,488,918,118,0,212,142,135,383
2006-2010,"B15002_27_12th_grade,_no_diploma",3746,336,676,880,5312,4620,889,107,194,5007,343,924,1889,22,542,597,155,574,167,0,103,200,60,232
2006-2010,"B15002_28_high_school_graduate,_ged,_or_alternative",42975,10128,14853,21365,53626,79847,7343,1539,5141,54247,6648,15117,27363,638,11563,10880,4721,6893,1348,613,2095,2949,1327,6114
2006-2010,"B15002_29_some_college,_less_than_1_year",8367,2706,4745,6004,13889,19205,2187,307,1387,15030,1828,4504,8512,170,3465,2771,824,2130,380,112,408,848,268,1350
2006-2010,"B15002_30_some_college,_1_or_more_years,_no_degree",23642,3762,8382,10929,37437,50692,4915,734,2230,43252,3011,11583,19441,291,5796,5933,1719,5303,1105,395,819,1645,400,2028
2006-2010,B15002_31_associate's_degree,7343,2513,3781,6870,20881,19762,3158,436,922,22588,1783,6069,9298,134,3248,3648,733,2205,511,156,439,739,379,1208
2006-2010,B15002_32_bachelor's_degree,45040,5174,8102,16548,95419,53354,24960,1041,2044,116371,4440,33654,28353,791,7734,8491,1616,17702,2598,1187,1558,2153,509,2728
2006-2010,B15002_33_master's_degree,35421,2752,4085,8227,62454,28885,18087,403,1015,64767,1875,15260,12276,223,3258,3374,668,9762,1098,1092,697,780,341,1498
2006-2010,B15002_34_professional_school_degree,14186,536,476,1002,17389,4408,5155,58,223,12662,285,2073,1700,10,422,365,142,3206,270,264,25,171,34,247
2006-2010,B15002_35_doctorate_degree,6922,110,240,1063,12876,3088,2194,44,2,6877,112,743,694,53,73,263,47,1163,141,100,91,31,46,192
2006-2010,B19001_1_total,257317,30313,49898,83455,353177,301906,91892,5535,15834,381768,22369,95330,124879,3163,41009,40183,14160,63738,8524,4706,9206,11732,4206,19164
2006-2010,"B19001_2_less_than_$10,000",28142,790,1322,2496,11211,11180,3761,257,619,9714,728,1715,2757,117,1330,778,752,2316,176,189,900,551,86,694
2006-2010,"B19001_3_$10,000_to_$14,999",12497,787,1131,1730,7139,7550,1747,235,674,5277,539,1045,1495,210,1129,778,800,1741,146,96,466,418,135,713
2006-2010,"B19001_4_$15,000_to_$19,999",10912,427,887,1875,7606,7331,1777,125,712,6222,510,962,2257,179,1036,643,655,1443,127,41,542,150,132,617
2006-2010,"B19001_5_$20,000_to_$24,999",9906,882,1202,2356,7852,9076,2178,267,517,6674,568,1578,2873,81,1635,679,708,1899,268,43,534,402,56,778
2006-2010,"B19001_6_$25,000_to_$29,999",9782,821,1115,2731,9099,9821,2154,167,576,6793,750,1358,2545,216,1097,973,424,1595,154,139,742,428,47,843
2006-2010,"B19001_7_$30,000_to_$34,999",10918,890,1301,2822,10467,12010,1970,190,710,8498,794,1477,3644,140,1073,979,450,2056,152,85,430,491,124,933
2006-2010,"B19001_8_$35,000_to_$39,999",10086,836,1402,2782,10498,12560,2248,145,788,9145,637,1900,3432,174,1429,1209,873,1987,205,119,624,382,171,945
2006-2010,"B19001_9_$40,000_to_$44,999",11443,761,1320,3190,11919,14453,2326,239,862,10634,870,2506,4494,91,1744,1485,776,2618,326,156,549,371,185,967
2006-2010,"B19001_10_$45,000_to_$49,999",8861,754,1796,3089,10913,12440,2296,288,525,10554,801,1863,4232,116,1527,1198,460,2315,220,161,459,535,260,781
2006-2010,"B19001_11_$50,000_to_$59,999",18362,2094,3521,5830,23585,27381,6261,388,1315,21576,1216,4714,8648,216,3120,2981,1105,5131,620,233,496,844,461,1444
2006-2010,"B19001_12_$60,000_to_$74,999",21847,3259,5072,8457,31282,35022,8370,529,1796,32815,2374,7497,12167,251,4916,4127,1484,6386,719,450,873,1278,663,2296
2006-2010,"B19001_13_$75,000_to_$99,999",28497,4551,8153,13933,46083,46958,13218,860,2262,50635,3280,12377,20233,383,6981,6072,2349,8986,1322,405,932,1801,687,3019
2006-2010,"B19001_14_$100,000_to_$124,999",19001,4087,7739,10938,40669,34673,11441,569,1554,47301,2900,13409,15933,268,4672,5593,1335,7596,1215,459,587,1619,387,2028
2006-2010,"B19001_15_$125,000_to_$149,999",13970,3324,4949,7626,29854,21975,7936,532,1313,36992,1878,11184,12149,189,3758,4596,735,4970,870,548,425,844,363,1164
2006-2010,"B19001_16_$150,000_to_$199,999",18488,3762,5570,8209,40973,24198,10375,387,1098,52367,2254,15176,15816,282,3659,4827,761,5533,930,658,231,1003,315,1037
2006-2010,"B19001_17_$200,000_or_more",24605,2288,3418,5391,54027,15278,13834,357,513,66571,2270,16569,12204,250,1903,3265,493,7166,1074,924,416,615,134,905
2006-2010,B19013_1_median_household_income_in_the_past_12_months_(in_2010_inflation-adjusted_dollars),58526,90838,88825,81686,93373,71260,94880,73244,65132,105416,83877,115574,91098,62117,76574,93065,60522,80847,97900,114409,43558,75173,70299,65603
2006-2010,B25001_1_total,293492,33220,53586,88435,371761,325165,102156,6185,17446,404109,25408,104906,133878,3771,44644,43093,15755,71537,8670,5342,10167,13024,4806,21608
2006-2010,B25003_1_total,257317,30313,49898,83455,353177,301906,91892,5535,15834,381768,22369,95330,124879,3163,41009,40183,14160,63738,8524,4706,9206,11732,4206,19164
2006-2010,B25003_2_owner_occupied,111879,25754,40454,64112,244815,194047,43168,4195,11498,274448,17633,77022,93372,2294,32759,31502,10591,29103,6148,3006,3592,8003,2993,14903
2006-2010,B25003_3_renter_occupied,145438,4559,9444,19343,108362,107859,48724,1340,4336,107320,4736,18308,31507,869,8250,8681,3569,34635,2376,1700,5614,3729,1213,4261
2006-2010,B25024_1_total,293492,33220,53586,88435,371761,325165,102156,6185,17446,404109,25408,104906,133878,3771,44644,43093,15755,71537,8670,5342,10167,13024,4806,21608
2006-2010,"B25024_2_1,_detached",36265,28849,38461,55309,182006,165060,28935,5335,13226,198976,21779,57577,76632,3570,35711,32266,12415,11063,4929,2342,4341,6001,2744,16453
2006-2010,"B25024_3_1,_attached",75950,1920,8772,17390,68524,51566,10180,236,1664,92883,1539,29951,34264,62,3724,5550,1038,15205,1549,890,1039,3744,1254,1085
2006-2010,B25024_4_2,8737,335,396,1534,1734,1733,737,76,111,1474,335,266,667,0,203,154,265,1154,18,87,275,111,7,395
2006-2010,B25024_5_3_or_4,22194,97,1176,1496,5044,5704,3561,176,333,4772,184,831,1537,27,224,282,398,2102,140,66,269,373,31,439
2006-2010,B25024_6_5_to_9,18801,151,1522,2540,18738,25009,6479,149,498,19167,150,3116,3495,7,447,635,387,6893,491,168,858,750,50,600
2006-2010,B25024_7_10_to_19,31744,557,816,6537,36542,50592,8243,51,615,40601,606,7360,12211,0,865,1793,593,9017,1110,196,1876,1383,201,513
2006-2010,B25024_8_20_to_49,25261,251,713,1158,10980,6373,4566,31,168,12199,253,2566,1739,0,411,861,148,3990,86,105,746,172,217,138
2006-2010,B25024_9_50_or_more,74174,518,667,1525,47779,17513,39090,101,75,31384,250,2804,2082,0,718,272,50,21903,297,1488,690,259,296,164
2006-2010,B25024_10_mobile_home,112,542,1035,903,371,1472,365,19,756,2581,312,415,1248,105,2341,1280,461,210,50,0,73,231,6,1821
2006-2010,"B25024_11_boat,_rv,_van,_etc.",254,0,28,43,43,143,0,11,0,72,0,20,3,0,0,0,0,0,0,0,0,0,0,0
2006-2010,B25077_1_median_value_(dollars),443300,392900,355800,349500,482900,327600,571700,366900,309000,507800,390900,495000,377700,428700,305000,355300,254400,486800,488900,641900,335800,325800,303400,255800
2006-2010,B25034_1_total,293492,33220,53586,88435,371761,325165,102156,6185,17446,404109,25408,104906,133878,3771,44644,43093,15755,71537,8670,5342,10167,13024,4806,21608
2006-2010,B25034_2_built_2005_or_later,8196,1283,2882,4001,10408,9878,4130,211,1495,12585,1031,12625,12704,54,2607,3054,712,2207,221,242,692,183,421,1077
2006-2010,B25034_3_built_2000_to_2004,10443,4573,7055,11496,27567,20890,8213,563,2841,30873,2331,28510,26206,215,8266,8626,1616,4978,545,312,673,938,794,3134
2006-2010,B25034_4_built_1990_to_1999,7605,9500,11911,18764,45864,44076,9335,683,3230,65000,4474,30691,24734,487,13442,11739,2986,8183,782,309,729,2499,1063,3665
2006-2010,B25034_5_built_1980_to_1989,11964,6859,11415,15041,80833,43705,12652,950,2540,94950,6037,14218,28207,583,9662,8517,2489,6846,582,316,1306,4554,391,3916
2006-2010,B25034_6_built_1970_to_1979,22623,5034,9156,13844,64652,53816,10302,961,2340,86756,4302,8492,22121,661,6293,5809,2602,13310,1453,871,2054,2065,393,3741
2006-2010,B25034_7_built_1960_to_1969,38435,1967,4701,6402,56967,70430,13979,521,1556,57322,1732,4530,12720,271,1824,2328,1413,12146,2213,879,1569,1588,490,1971
2006-2010,B25034_8_built_1950_to_1959,46450,1207,2514,5038,47829,46605,18042,592,1234,40377,1505,1493,4345,120,878,1312,1079,9507,2371,940,1073,647,1211,949
2006-2010,B25034_9_built_1940_to_1949,45175,1091,1554,2313,19886,19964,17118,460,775,10378,597,732,1311,148,694,652,1204,7916,286,964,441,209,14,553
2006-2010,B25034_10_built_1939_or_earlier,102601,1706,2398,11536,17755,15801,8385,1244,1435,5868,3399,3615,1530,1232,978,1056,1654,6444,217,509,1630,341,29,2602
2006-2010,B11003_1_total,109171,23208,37943,60517,242950,198515,40779,3838,11934,266580,16576,71188,96441,2151,32156,32620,9765,29010,5629,2930,4490,8777,3256,13590
2006-2010,B11003_2_married-couple_family,57033,18443,27212,49332,190790,119822,31958,3296,9618,218929,13711,60817,74672,1829,25008,26737,7690,21264,4448,2325,2856,6523,2321,11147
