"NAME","year","CBSA","hhs_type","hhs_share","hhs_type_name"
NA,1990,47900,"hhs_1",0.142770389263375,"hh size: 1"
NA,1980,47900,"hhs_1",0.119565726051757,"hh size: 1"
NA,1970,47900,"hhs_1",NA,"hh size: 1"
NA,2009,47900,"hhs_1",0.222789576002166,"hh size: 1"
NA,2013,47900,"hhs_1",0.21950033010181,"hh size: 1"
NA,2017,47900,"hhs_1",0.217324653973473,"hh size: 1"
NA,2000,47900,"hhs_1",0.200470655351922,"hh size: 1"
NA,1990,47900,"hhs_1",0.177982486068464,"hh size: 1"
NA,1980,47900,"hhs_1",0.16209509578953,"hh size: 1"
NA,1970,47900,"hhs_1",NA,"hh size: 1"
NA,2009,47900,"hhs_1",0.254938259047542,"hh size: 1"
NA,2013,47900,"hhs_1",0.253553470544676,"hh size: 1"
NA,2017,47900,"hhs_1",0.249448870930176,"hh size: 1"
NA,2000,47900,"hhs_1",0.243878869945221,"hh size: 1"
NA,1990,47900,"hhs_1",0.22202663103608,"hh size: 1"
NA,1980,47900,"hhs_1",0.210217105041024,"hh size: 1"
NA,1970,47900,"hhs_1",NA,"hh size: 1"
NA,2009,47900,"hhs_1",0.278743492751823,"hh size: 1"
NA,2013,47900,"hhs_1",0.277635520578959,"hh size: 1"
NA,2017,47900,"hhs_1",0.283116070089405,"hh size: 1"
NA,2000,47900,"hhs_1",0.240725623582766,"hh size: 1"
NA,1990,47900,"hhs_1",0.214863653473761,"hh size: 1"
NA,1980,47900,"hhs_1",0.199635357057305,"hh size: 1"
NA,1970,47900,"hhs_1",NA,"hh size: 1"
NA,2009,47900,"hhs_1",0.432045446995116,"hh size: 1"
NA,2013,47900,"hhs_1",0.40502255065958,"hh size: 1"
NA,2017,47900,"hhs_1",0.392043788485974,"hh size: 1"
NA,2000,47900,"hhs_1",0.407475079214562,"hh size: 1"
NA,1990,47900,"hhs_1",0.391237538891358,"hh size: 1"
NA,1980,47900,"hhs_1",0.40332385254587,"hh size: 1"
NA,1970,47900,"hhs_1",NA,"hh size: 1"
NA,2009,47900,"hhs_1",0.258793511937306,"hh size: 1"
NA,2013,47900,"hhs_1",0.195340501792115,"hh size: 1"
NA,2017,47900,"hhs_1",0.278376436781609,"hh size: 1"
NA,2000,47900,"hhs_1",0.240606060606061,"hh size: 1"
NA,1990,47900,"hhs_1",0.180645161290323,"hh size: 1"
NA,1980,47900,"hhs_1",0.209182209469154,"hh size: 1"
NA,1970,47900,"hhs_1",NA,"hh size: 1"
NA,2009,47900,"hhs_1",0.201627486437613,"hh size: 1"
NA,2013,47900,"hhs_1",0.208803541367916,"hh size: 1"
NA,2017,47900,"hhs_1",0.203777395022866,"hh size: 1"
NA,2000,47900,"hhs_1",0.205991276438153,"hh size: 1"
NA,1990,47900,"hhs_1",0.187313662999897,"hh size: 1"
NA,1980,47900,"hhs_1",0.184877276326207,"hh size: 1"
NA,1970,47900,"hhs_1",NA,"hh size: 1"
NA,2009,47900,"hhs_1",0.246014137557402,"hh size: 1"
NA,2013,47900,"hhs_1",0.227471608687178,"hh size: 1"
NA,2017,47900,"hhs_1",0.223570084905181,"hh size: 1"
NA,2000,47900,"hhs_1",0.213522584612231,"hh size: 1"
NA,1990,47900,"hhs_1",0.185527559969004,"hh size: 1"
NA,1980,47900,"hhs_1",0.169604295552702,"hh size: 1"
NA,1970,47900,"hhs_1",NA,"hh size: 1"
NA,2009,47900,"hhs_1",0.216560229024444,"hh size: 1"
NA,2013,47900,"hhs_1",0.205361003026373,"hh size: 1"
NA,2017,47900,"hhs_1",0.210708477544723,"hh size: 1"
NA,2000,47900,"hhs_1",0.186334154557796,"hh size: 1"
NA,1990,47900,"hhs_1",0.151480223246785,"hh size: 1"
NA,1980,47900,"hhs_1",0.154233957105016,"hh size: 1"
NA,1970,47900,"hhs_1",NA,"hh size: 1"
NA,2009,47900,"hhs_1",0.227435514347234,"hh size: 1"
NA,2013,47900,"hhs_1",0.171004794526949,"hh size: 1"
NA,2017,47900,"hhs_1",0.172845612906949,"hh size: 1"
NA,2000,47900,"hhs_1",0.184893443033327,"hh size: 1"
NA,1990,47900,"hhs_1",0.165431211834242,"hh size: 1"
NA,1980,47900,"hhs_1",0.14857295278741,"hh size: 1"
NA,1970,47900,"hhs_1",NA,"hh size: 1"
NA,2009,47900,"hhs_1",0.179165622954661,"hh size: 1"
NA,2013,47900,"hhs_1",0.175420183929569,"hh size: 1"
NA,2017,47900,"hhs_1",0.184507487114697,"hh size: 1"
NA,2000,47900,"hhs_1",0.170089370602776,"hh size: 1"
NA,1990,47900,"hhs_1",0.129460663601554,"hh size: 1"
NA,1980,47900,"hhs_1",0.105966913861951,"hh size: 1"
NA,1970,47900,"hhs_1",NA,"hh size: 1"
NA,2009,47900,"hhs_1",0.205461638491547,"hh size: 1"
NA,2013,47900,"hhs_1",0.291628334866605,"hh size: 1"
NA,2017,47900,"hhs_1",0.279463430213989,"hh size: 1"
NA,2000,47900,"hhs_1",0.231759656652361,"hh size: 1"
NA,1990,47900,"hhs_1",0.194106090373281,"hh size: 1"
NA,1980,47900,"hhs_1",0.197209302325581,"hh size: 1"
NA,1970,47900,"hhs_1",NA,"hh size: 1"
NA,2009,47900,"hhs_1",0.172032440403047,"hh size: 1"
NA,2013,47900,"hhs_1",0.169603682658419,"hh size: 1"
NA,2017,47900,"hhs_1",0.188428568127729,"hh size: 1"
NA,2000,47900,"hhs_1",0.164592597331968,"hh size: 1"
NA,1990,47900,"hhs_1",0.131836863736959,"hh size: 1"
NA,1980,47900,"hhs_1",0.12814349112426,"hh size: 1"
NA,1970,47900,"hhs_1",NA,"hh size: 1"
NA,2009,47900,"hhs_1",0.152841296712737,"hh size: 1"
NA,2013,47900,"hhs_1",0.15059983877851,"hh size: 1"
NA,2017,47900,"hhs_1",0.14385268497078,"hh size: 1"
NA,2000,47900,"hhs_1",0.138671356517122,"hh size: 1"
NA,1990,47900,"hhs_1",0.121071851051792,"hh size: 1"
NA,1980,47900,"hhs_1",0.112427485905711,"hh size: 1"
NA,1970,47900,"hhs_1",NA,"hh size: 1"
NA,2009,47900,"hhs_1",0.248716820648189,"hh size: 1"
NA,2013,47900,"hhs_1",0.233961214985751,"hh size: 1"
NA,2017,47900,"hhs_1",0.240662438336857,"hh size: 1"
NA,2000,47900,"hhs_1",0.24,"hh size: 1"
NA,1990,47900,"hhs_1",0.218913480885312,"hh size: 1"
